trips,business_day,year,month,weekday
748,1,2013,8,4
714,1,2013,8,5
640,-1,2013,8,6
706,-1,2013,9,7
661,-1,2013,9,1
597,1,2013,9,2
606,1,2013,9,3
677,1,2013,9,4
814,1,2013,9,5
796,-1,2013,9,6
704,-1,2013,9,7
769,1,2013,9,1
892,1,2013,9,2
880,1,2013,9,3
942,1,2013,9,4
981,1,2013,9,5
702,-1,2013,9,6
624,-1,2013,9,7
914,1,2013,9,1
1073,1,2013,9,2
1110,1,2013,9,3
1044,1,2013,9,4
1102,1,2013,9,5
388,-1,2013,9,6
584,-1,2013,9,7
1050,1,2013,9,1
1075,1,2013,9,2
1264,1,2013,9,3
1082,1,2013,9,4
1101,1,2013,9,5
612,-1,2013,9,6
517,-1,2013,9,7
976,1,2013,9,1
1072,1,2013,10,2
1061,1,2013,10,3
1158,1,2013,10,4
1088,1,2013,10,5
716,-1,2013,10,6
606,-1,2013,10,7
964,1,2013,10,1
1018,1,2013,10,2
1069,1,2013,10,3
1086,1,2013,10,4
1014,1,2013,10,5
665,-1,2013,10,6
572,-1,2013,10,7
1050,-1,2013,10,1
1173,1,2013,10,2
1165,1,2013,10,3
1227,1,2013,10,4
1103,1,2013,10,5
635,-1,2013,10,6
452,-1,2013,10,7
1015,1,2013,10,1
1026,1,2013,10,2
1029,1,2013,10,3
1053,1,2013,10,4
1048,1,2013,10,5
501,-1,2013,10,6
292,-1,2013,10,7
967,1,2013,10,1
1008,1,2013,10,2
1122,1,2013,10,3
1150,1,2013,10,4
1120,1,2013,11,5
544,-1,2013,11,6
372,-1,2013,11,7
1128,1,2013,11,1
1158,1,2013,11,2
1085,1,2013,11,3
1197,1,2013,11,4
1172,1,2013,11,5
634,-1,2013,11,6
482,-1,2013,11,7
986,-1,2013,11,1
1154,1,2013,11,2
1002,1,2013,11,3
1115,1,2013,11,4
1131,1,2013,11,5
474,-1,2013,11,6
406,-1,2013,11,7
1008,1,2013,11,1
750,1,2013,11,2
625,1,2013,11,3
1102,1,2013,11,4
995,1,2013,11,5
525,-1,2013,11,6
348,-1,2013,11,7
1019,1,2013,11,1
1004,1,2013,11,2
720,1,2013,11,3
272,-1,2013,11,4
384,1,2013,11,5
307,-1,2013,11,6
329,-1,2013,12,7
878,1,2013,12,1
917,1,2013,12,2
992,1,2013,12,3
936,1,2013,12,4
727,1,2013,12,5
277,-1,2013,12,6
274,-1,2013,12,7
807,1,2013,12,1
878,1,2013,12,2
903,1,2013,12,3
966,1,2013,12,4
962,1,2013,12,5
392,-1,2013,12,6
319,-1,2013,12,7
946,1,2013,12,1
975,1,2013,12,2
928,1,2013,12,3
935,1,2013,12,4
867,1,2013,12,5
354,-1,2013,12,6
307,-1,2013,12,7
651,1,2013,12,1
336,1,2013,12,2
360,-1,2013,12,3
422,1,2013,12,4
425,1,2013,12,5
403,-1,2013,12,6
318,-1,2013,12,7
605,1,2013,12,1
505,1,2013,12,2
359,-1,2014,1,3
767,1,2014,1,4
779,1,2014,1,5
356,-1,2014,1,6
296,-1,2014,1,7
915,1,2014,1,1
967,1,2014,1,2
967,1,2014,1,3
980,1,2014,1,4
983,1,2014,1,5
247,-1,2014,1,6
351,-1,2014,1,7
1015,1,2014,1,1
1027,1,2014,1,2
1100,1,2014,1,3
1097,1,2014,1,4
1014,1,2014,1,5
443,-1,2014,1,6
397,-1,2014,1,7
615,-1,2014,1,1
1011,1,2014,1,2
1071,1,2014,1,3
1094,1,2014,1,4
1021,1,2014,1,5
444,-1,2014,1,6
390,-1,2014,1,7
959,1,2014,1,1
1026,1,2014,1,2
952,1,2014,1,3
946,1,2014,1,4
839,1,2014,1,5
383,-1,2014,2,6
128,-1,2014,2,7
962,1,2014,2,1
994,1,2014,2,2
862,1,2014,2,3
486,1,2014,2,4
466,1,2014,2,5
94,-1,2014,2,6
81,-1,2014,2,7
803,1,2014,2,1
939,1,2014,2,2
1015,1,2014,2,3
937,1,2014,2,4
958,1,2014,2,5
415,-1,2014,2,6
415,-1,2014,2,7
464,-1,2014,2,1
1013,1,2014,2,2
1012,1,2014,2,3
974,1,2014,2,4
937,1,2014,2,5
466,-1,2014,2,6
317,-1,2014,2,7
1011,1,2014,2,1
1090,1,2014,2,2
392,1,2014,2,3
872,1,2014,2,4
538,1,2014,2,5
318,-1,2014,3,6
208,-1,2014,3,7
746,1,2014,3,1
944,1,2014,3,2
979,1,2014,3,3
1015,1,2014,3,4
988,1,2014,3,5
468,-1,2014,3,6
548,-1,2014,3,7
980,1,2014,3,1
1112,1,2014,3,2
1044,1,2014,3,3
1133,1,2014,3,4
1022,1,2014,3,5
504,-1,2014,3,6
445,-1,2014,3,7
1002,1,2014,3,1
1139,1,2014,3,2
1161,1,2014,3,3
1127,1,2014,3,4
1010,1,2014,3,5
422,-1,2014,3,6
373,-1,2014,3,7
1012,1,2014,3,1
927,1,2014,3,2
716,1,2014,3,3
1071,1,2014,3,4
974,1,2014,3,5
117,-1,2014,3,6
391,-1,2014,3,7
697,1,2014,3,1
520,1,2014,4,2
987,1,2014,4,3
997,1,2014,4,4
844,1,2014,4,5
518,-1,2014,4,6
378,-1,2014,4,7
1123,1,2014,4,1
1268,1,2014,4,2
1119,1,2014,4,3
1033,1,2014,4,4
1013,1,2014,4,5
463,-1,2014,4,6
412,-1,2014,4,7
1046,1,2014,4,1
1163,1,2014,4,2
1223,1,2014,4,3
1145,1,2014,4,4
988,1,2014,4,5
421,-1,2014,4,6
376,-1,2014,4,7
1049,1,2014,4,1
1066,1,2014,4,2
1089,1,2014,4,3
1018,1,2014,4,4
599,1,2014,4,5
383,-1,2014,4,6
354,-1,2014,4,7
1177,1,2014,4,1
1227,1,2014,4,2
1222,1,2014,4,3
1185,1,2014,5,4
1037,1,2014,5,5
387,-1,2014,5,6
417,-1,2014,5,7
1156,1,2014,5,1
1129,1,2014,5,2
1173,1,2014,5,3
1052,1,2014,5,4
1046,1,2014,5,5
437,-1,2014,5,6
336,-1,2014,5,7
1180,1,2014,5,1
1235,1,2014,5,2
1182,1,2014,5,3
1207,1,2014,5,4
1142,1,2014,5,5
485,-1,2014,5,6
418,-1,2014,5,7
1111,1,2014,5,1
1123,1,2014,5,2
1103,1,2014,5,3
1216,1,2014,5,4
1092,1,2014,5,5
432,-1,2014,5,6
557,-1,2014,5,7
450,-1,2014,5,1
1204,1,2014,5,2
1278,1,2014,5,3
1209,1,2014,5,4
1074,1,2014,5,5
449,-1,2014,5,6
468,-1,2014,6,7
1291,1,2014,6,1
1324,1,2014,6,2
1298,1,2014,6,3
1219,1,2014,6,4
1161,1,2014,6,5
437,-1,2014,6,6
498,-1,2014,6,7
1294,1,2014,6,1
1256,1,2014,6,2
1280,1,2014,6,3
1175,1,2014,6,4
1163,1,2014,6,5
440,-1,2014,6,6
390,-1,2014,6,7
1269,1,2014,6,1
1216,1,2014,6,2
1259,1,2014,6,3
1237,1,2014,6,4
1151,1,2014,6,5
361,-1,2014,6,6
460,-1,2014,6,7
1188,1,2014,6,1
1334,1,2014,6,2
1225,1,2014,6,3
1294,1,2014,6,4
1137,1,2014,6,5
495,-1,2014,6,6
414,-1,2014,6,7
1248,1,2014,6,1
1211,1,2014,7,2
1245,1,2014,7,3
1026,1,2014,7,4
391,-1,2014,7,5
382,-1,2014,7,6
365,-1,2014,7,7
1210,1,2014,7,1
1201,1,2014,7,2
1347,1,2014,7,3
1224,1,2014,7,4
1076,1,2014,7,5
445,-1,2014,7,6
408,-1,2014,7,7
1220,1,2014,7,1
1300,1,2014,7,2
1311,1,2014,7,3
1299,1,2014,7,4
1160,1,2014,7,5
424,-1,2014,7,6
402,-1,2014,7,7
1224,1,2014,7,1
1326,1,2014,7,2
1366,1,2014,7,3
1299,1,2014,7,4
1204,1,2014,7,5
495,-1,2014,7,6
446,-1,2014,7,7
1293,1,2014,7,1
1368,1,2014,7,2
1351,1,2014,7,3
1260,1,2014,7,4
1162,1,2014,8,5
387,-1,2014,8,6
365,-1,2014,8,7
1169,1,2014,8,1
1313,1,2014,8,2
1254,1,2014,8,3
1256,1,2014,8,4
1170,1,2014,8,5
376,-1,2014,8,6
436,-1,2014,8,7
1234,1,2014,8,1
1380,1,2014,8,2
1247,1,2014,8,3
1251,1,2014,8,4
1179,1,2014,8,5
425,-1,2014,8,6
402,-1,2014,8,7
1277,1,2014,8,1
1279,1,2014,8,2
1327,1,2014,8,3
1352,1,2014,8,4
1235,1,2014,8,5
485,-1,2014,8,6
345,-1,2014,8,7
1371,1,2014,8,1
1513,1,2014,8,2
1479,1,2014,8,3
1340,1,2014,8,4
1252,1,2014,8,5
481,-1,2014,8,6
473,-1,2014,8,7
368,-1,2014,9,1
1319,1,2014,9,2
1404,1,2014,9,3
1389,1,2014,9,4
1265,1,2014,9,5
435,-1,2014,9,6
336,-1,2014,9,7
1305,1,2014,9,1
1362,1,2014,9,2
1351,1,2014,9,3
1381,1,2014,9,4
1308,1,2014,9,5
556,-1,2014,9,6
435,-1,2014,9,7
1516,1,2014,9,1
1438,1,2014,9,2
1429,1,2014,9,3
1186,1,2014,9,4
1245,1,2014,9,5
427,-1,2014,9,6
313,-1,2014,9,7
1353,1,2014,9,1
1362,1,2014,9,2
1301,1,2014,9,3
1177,1,2014,9,4
1242,1,2014,9,5
464,-1,2014,9,6
376,-1,2014,9,7
1335,1,2014,9,1
1304,1,2014,9,2
1393,1,2014,10,3
1452,1,2014,10,4
1194,1,2014,10,5
418,-1,2014,10,6
324,-1,2014,10,7
1169,1,2014,10,1
1293,1,2014,10,2
1367,1,2014,10,3
1306,1,2014,10,4
1299,1,2014,10,5
552,-1,2014,10,6
447,-1,2014,10,7
1261,-1,2014,10,1
1496,1,2014,10,2
1384,1,2014,10,3
1462,1,2014,10,4
1257,1,2014,10,5
474,-1,2014,10,6
418,-1,2014,10,7
1266,1,2014,10,1
1410,1,2014,10,2
1319,1,2014,10,3
1389,1,2014,10,4
1427,1,2014,10,5
406,-1,2014,10,6
470,-1,2014,10,7
1393,1,2014,10,1
1419,1,2014,10,2
1496,1,2014,10,3
1411,1,2014,10,4
848,1,2014,10,5
395,-1,2014,11,6
372,-1,2014,11,7
1347,1,2014,11,1
1302,1,2014,11,2
1382,1,2014,11,3
1410,1,2014,11,4
1301,1,2014,11,5
512,-1,2014,11,6
377,-1,2014,11,7
1304,1,2014,11,1
1213,-1,2014,11,2
1363,1,2014,11,3
1133,1,2014,11,4
1210,1,2014,11,5
384,-1,2014,11,6
267,-1,2014,11,7
1304,1,2014,11,1
1322,1,2014,11,2
906,1,2014,11,3
886,1,2014,11,4
1210,1,2014,11,5
343,-1,2014,11,6
235,-1,2014,11,7
1285,1,2014,11,1
1183,1,2014,11,2
758,1,2014,11,3
133,-1,2014,11,4
277,1,2014,11,5
281,-1,2014,11,6
121,-1,2014,11,7
1181,1,2014,12,1
491,1,2014,12,2
804,1,2014,12,3
1125,1,2014,12,4
980,1,2014,12,5
419,-1,2014,12,6
296,-1,2014,12,7
1363,1,2014,12,1
1305,1,2014,12,2
1279,1,2014,12,3
107,1,2014,12,4
622,1,2014,12,5
368,-1,2014,12,6
264,-1,2014,12,7
644,1,2014,12,1
770,1,2014,12,2
809,1,2014,12,3
1126,1,2014,12,4
532,1,2014,12,5
305,-1,2014,12,6
246,-1,2014,12,7
1021,1,2014,12,1
806,1,2014,12,2
308,1,2014,12,3
150,-1,2014,12,4
329,1,2014,12,5
231,-1,2014,12,6
297,-1,2014,12,7
627,1,2014,12,1
486,1,2014,12,2
386,1,2014,12,3
181,-1,2015,1,4
428,1,2015,1,5
283,-1,2015,1,6
206,-1,2015,1,7
1186,1,2015,1,1
1255,1,2015,1,2
1301,1,2015,1,3
1295,1,2015,1,4
1173,1,2015,1,5
362,-1,2015,1,6
327,-1,2015,1,7
1344,1,2015,1,1
1368,1,2015,1,2
1296,1,2015,1,3
1229,1,2015,1,4
1082,1,2015,1,5
319,-1,2015,1,6
275,-1,2015,1,7
619,-1,2015,1,1
1213,1,2015,1,2
1314,1,2015,1,3
1224,1,2015,1,4
1164,1,2015,1,5
420,-1,2015,1,6
259,-1,2015,1,7
1249,1,2015,1,1
1260,1,2015,1,2
1345,1,2015,1,3
1295,1,2015,1,4
1193,1,2015,1,5
375,-1,2015,1,6
251,-1,2015,2,7
1312,1,2015,2,1
1363,1,2015,2,2
1364,1,2015,2,3
1272,1,2015,2,4
608,1,2015,2,5
318,-1,2015,2,6
141,-1,2015,2,7
1246,1,2015,2,1
1368,1,2015,2,2
1343,1,2015,2,3
1305,1,2015,2,4
1295,1,2015,2,5
563,-1,2015,2,6
375,-1,2015,2,7
543,-1,2015,2,1
1279,1,2015,2,2
1238,1,2015,2,3
1172,1,2015,2,4
1101,1,2015,2,5
333,-1,2015,2,6
289,-1,2015,2,7
1280,1,2015,2,1
1169,1,2015,2,2
1209,1,2015,2,3
1242,1,2015,2,4
1092,1,2015,2,5
330,-1,2015,2,6
338,-1,2015,3,7
1209,1,2015,3,1
1299,1,2015,3,2
1243,1,2015,3,3
1225,1,2015,3,4
1245,1,2015,3,5
396,-1,2015,3,6
394,-1,2015,3,7
1045,1,2015,3,1
1184,1,2015,3,2
1214,1,2015,3,3
1328,1,2015,3,4
1208,1,2015,3,5
479,-1,2015,3,6
377,-1,2015,3,7
1295,1,2015,3,1
1365,1,2015,3,2
1319,1,2015,3,3
1363,1,2015,3,4
1206,1,2015,3,5
375,-1,2015,3,6
280,-1,2015,3,7
1247,1,2015,3,1
1340,1,2015,3,2
1409,1,2015,3,3
1348,1,2015,3,4
1264,1,2015,3,5
512,-1,2015,3,6
362,-1,2015,3,7
1403,1,2015,3,1
1354,1,2015,3,2
1379,1,2015,4,3
1395,1,2015,4,4
1155,1,2015,4,5
342,-1,2015,4,6
216,-1,2015,4,7
1281,1,2015,4,1
1097,1,2015,4,2
1344,1,2015,4,3
1321,1,2015,4,4
1246,1,2015,4,5
407,-1,2015,4,6
303,-1,2015,4,7
1337,1,2015,4,1
1331,1,2015,4,2
1359,1,2015,4,3
1359,1,2015,4,4
1255,1,2015,4,5
413,-1,2015,4,6
325,-1,2015,4,7
1299,1,2015,4,1
1371,1,2015,4,2
1376,1,2015,4,3
1368,1,2015,4,4
1171,1,2015,4,5
405,-1,2015,4,6
291,-1,2015,4,7
1233,1,2015,4,1
1375,1,2015,4,2
1314,1,2015,4,3
1295,1,2015,4,4
1282,1,2015,5,5
351,-1,2015,5,6
346,-1,2015,5,7
1296,1,2015,5,1
1369,1,2015,5,2
1374,1,2015,5,3
1360,1,2015,5,4
1246,1,2015,5,5
368,-1,2015,5,6
267,-1,2015,5,7
1297,1,2015,5,1
1305,1,2015,5,2
1336,1,2015,5,3
1343,1,2015,5,4
1168,1,2015,5,5
394,-1,2015,5,6
328,-1,2015,5,7
1279,1,2015,5,1
1381,1,2015,5,2
1246,1,2015,5,3
1355,1,2015,5,4
1129,1,2015,5,5
392,-1,2015,5,6
333,-1,2015,5,7
324,-1,2015,5,1
1219,1,2015,5,2
1260,1,2015,5,3
1288,1,2015,5,4
1203,1,2015,5,5
435,-1,2015,5,6
266,-1,2015,5,7
1224,1,2015,6,1
1390,1,2015,6,2
1348,1,2015,6,3
1414,1,2015,6,4
1270,1,2015,6,5
339,-1,2015,6,6
385,-1,2015,6,7
1270,1,2015,6,1
1383,1,2015,6,2
956,1,2015,6,3
1437,1,2015,6,4
1276,1,2015,6,5
430,-1,2015,6,6
269,-1,2015,6,7
1327,1,2015,6,1
1409,1,2015,6,2
1353,1,2015,6,3
1352,1,2015,6,4
1243,1,2015,6,5
411,-1,2015,6,6
298,-1,2015,6,7
1295,1,2015,6,1
1392,1,2015,6,2
1335,1,2015,6,3
1391,1,2015,6,4
1319,1,2015,6,5
466,-1,2015,6,6
407,-1,2015,6,7
1237,1,2015,6,1
1281,1,2015,6,2
1205,1,2015,7,3
1019,1,2015,7,4
439,-1,2015,7,5
449,-1,2015,7,6
288,-1,2015,7,7
1242,1,2015,7,1
1359,1,2015,7,2
1405,1,2015,7,3
1257,1,2015,7,4
1244,1,2015,7,5
495,-1,2015,7,6
379,-1,2015,7,7
1345,1,2015,7,1
1358,1,2015,7,2
1384,1,2015,7,3
1382,1,2015,7,4
1249,1,2015,7,5
368,-1,2015,7,6
402,-1,2015,7,7
1386,1,2015,7,1
1349,1,2015,7,2
1307,1,2015,7,3
1320,1,2015,7,4
1254,1,2015,7,5
364,-1,2015,7,6
432,-1,2015,7,7
1363,1,2015,7,1
1451,1,2015,7,2
1411,1,2015,7,3
1330,1,2015,7,4
1240,1,2015,7,5
425,-1,2015,8,6
320,-1,2015,8,7
1283,1,2015,8,1
1360,1,2015,8,2
1341,1,2015,8,3
1299,1,2015,8,4
1197,1,2015,8,5
432,-1,2015,8,6
361,-1,2015,8,7
1284,1,2015,8,1
1397,1,2015,8,2
1400,1,2015,8,3
1401,1,2015,8,4
1182,1,2015,8,5
451,-1,2015,8,6
393,-1,2015,8,7
1418,1,2015,8,1
1407,1,2015,8,2
1353,1,2015,8,3
1353,1,2015,8,4
1215,1,2015,8,5
421,-1,2015,8,6
311,-1,2015,8,7
1309,1,2015,8,1
1421,1,2015,8,2
1465,1,2015,8,3
1443,1,2015,8,4
1220,1,2015,8,5
342,-1,2015,8,6
331,-1,2015,8,7
1369,1,2015,8,1
1389,1,2015,9,2
1313,1,2015,9,3
1294,1,2015,9,4
1129,1,2015,9,5
386,-1,2015,9,6
318,-1,2015,9,7
318,-1,2015,9,1
1333,1,2015,9,2
1405,1,2015,9,3
1357,1,2015,9,4
1165,1,2015,9,5
360,-1,2015,9,6
301,-1,2015,9,7
1177,1,2015,9,1
1423,1,2015,9,2
1239,1,2015,9,3
1312,1,2015,9,4
1272,1,2015,9,5
402,-1,2015,9,6
325,-1,2015,9,7
1343,1,2015,9,1
1355,1,2015,9,2
1230,1,2015,9,3
1342,1,2015,9,4
1280,1,2015,9,5
364,-1,2015,9,6
349,-1,2015,9,7
1304,1,2015,9,1
1408,1,2015,9,2
1203,1,2015,9,3
1253,1,2015,10,4
1195,1,2015,10,5
304,-1,2015,10,6
309,-1,2015,10,7
1287,1,2015,10,1
1326,1,2015,10,2
1326,1,2015,10,3
1285,1,2015,10,4
1196,1,2015,10,5
393,-1,2015,10,6
483,-1,2015,10,7
1142,-1,2015,10,1
1397,1,2015,10,2
1371,1,2015,10,3
1283,1,2015,10,4
1190,1,2015,10,5
292,-1,2015,10,6
259,-1,2015,10,7
1292,1,2015,10,1
1403,1,2015,10,2
1328,1,2015,10,3
1328,1,2015,10,4
1204,1,2015,10,5
345,-1,2015,10,6
295,-1,2015,10,7
1260,1,2015,10,1
1270,1,2015,10,2
1235,1,2015,10,3
1310,1,2015,10,4
1229,1,2015,10,5
263,-1,2015,10,6
240,-1,2015,11,7
863,1,2015,11,1
1246,1,2015,11,2
1204,1,2015,11,3
1266,1,2015,11,4
1124,1,2015,11,5
356,-1,2015,11,6
191,-1,2015,11,7
806,1,2015,11,1
1260,1,2015,11,2
1128,-1,2015,11,3
1238,1,2015,11,4
1166,1,2015,11,5
320,-1,2015,11,6
197,-1,2015,11,7
1220,1,2015,11,1
1207,1,2015,11,2
1253,1,2015,11,3
1145,1,2015,11,4
1172,1,2015,11,5
277,-1,2015,11,6
244,-1,2015,11,7
1052,1,2015,11,1
911,1,2015,11,2
652,1,2015,11,3
106,-1,2015,11,4
171,1,2015,11,5
188,-1,2015,11,6
165,-1,2015,11,7
988,1,2015,11,1
1117,1,2015,12,2
1096,1,2015,12,3
898,1,2015,12,4
992,1,2015,12,5
213,-1,2015,12,6
105,-1,2015,12,7
1027,1,2015,12,1
1109,1,2015,12,2
1028,1,2015,12,3
898,1,2015,12,4
893,1,2015,12,5
228,-1,2015,12,6
77,-1,2015,12,7
999,1,2015,12,1
1050,1,2015,12,2
1066,1,2015,12,3
990,1,2015,12,4
801,1,2015,12,5
245,-1,2015,12,6
51,-1,2015,12,7
341,1,2015,12,1
539,1,2015,12,2
563,1,2015,12,3
124,1,2015,12,4
106,-1,2015,12,5
128,-1,2015,12,6
146,-1,2015,12,7
475,1,2015,12,1
502,1,2015,12,2
319,1,2015,12,3
264,1,2015,12,4
98,-1,2016,1,5
154,-1,2016,1,6
135,-1,2016,1,7
765,1,2016,1,1
632,1,2016,1,2
562,1,2016,1,3
978,1,2016,1,4
909,1,2016,1,5
132,-1,2016,1,6
133,-1,2016,1,7
1060,1,2016,1,1
1090,1,2016,1,2
1033,1,2016,1,3
838,1,2016,1,4
966,1,2016,1,5
162,-1,2016,1,6
104,-1,2016,1,7
417,-1,2016,1,1
593,1,2016,1,2
1107,1,2016,1,3
1089,1,2016,1,4
513,1,2016,1,5
236,-1,2016,1,6
226,-1,2016,1,7
1127,1,2016,1,1
1114,1,2016,1,2
1131,1,2016,1,3
1095,1,2016,1,4
590,1,2016,1,5
318,-1,2016,1,6
213,-1,2016,1,7
1013,1,2016,2,1
865,1,2016,2,2
1042,1,2016,2,3
1062,1,2016,2,4
948,1,2016,2,5
410,-1,2016,2,6
270,-1,2016,2,7
1160,1,2016,2,1
1144,1,2016,2,2
1167,1,2016,2,3
1176,1,2016,2,4
1063,1,2016,2,5
353,-1,2016,2,6
341,-1,2016,2,7
463,-1,2016,2,1
1155,1,2016,2,2
973,1,2016,2,3
1036,1,2016,2,4
904,1,2016,2,5
307,-1,2016,2,6
235,-1,2016,2,7
1187,1,2016,2,1
1182,1,2016,2,2
1163,1,2016,2,3
1176,1,2016,2,4
1034,1,2016,2,5
337,-1,2016,2,6
242,-1,2016,2,7
1152,1,2016,2,1
1256,1,2016,3,2
1177,1,2016,3,3
989,1,2016,3,4
764,1,2016,3,5
68,-1,2016,3,6
163,-1,2016,3,7
987,1,2016,3,1
1122,1,2016,3,2
955,1,2016,3,3
691,1,2016,3,4
520,1,2016,3,5
176,-1,2016,3,6
50,-1,2016,3,7
1119,1,2016,3,1
1206,1,2016,3,2
1189,1,2016,3,3
1114,1,2016,3,4
1011,1,2016,3,5
308,-1,2016,3,6
185,-1,2016,3,7
912,1,2016,3,1
1144,1,2016,3,2
1215,1,2016,3,3
1210,1,2016,3,4
952,1,2016,3,5
365,-1,2016,3,6
222,-1,2016,3,7
1094,1,2016,3,1
1161,1,2016,3,2
1134,1,2016,3,3
1099,1,2016,3,4
967,1,2016,4,5
299,-1,2016,4,6
259,-1,2016,4,7
1175,1,2016,4,1
1220,1,2016,4,2
1200,1,2016,4,3
1231,1,2016,4,4
986,1,2016,4,5
111,-1,2016,4,6
197,-1,2016,4,7
1146,1,2016,4,1
1181,1,2016,4,2
1162,1,2016,4,3
1106,1,2016,4,4
1070,1,2016,4,5
363,-1,2016,4,6
252,-1,2016,4,7
1179,1,2016,4,1
1325,1,2016,4,2
1325,1,2016,4,3
1183,1,2016,4,4
941,1,2016,4,5
294,-1,2016,4,6
281,-1,2016,4,7
1167,1,2016,4,1
1249,1,2016,4,2
1162,1,2016,4,3
1221,1,2016,4,4
1090,1,2016,4,5
270,-1,2016,4,6
243,-1,2016,5,7
1197,1,2016,5,1
1242,1,2016,5,2
1239,1,2016,5,3
1219,1,2016,5,4
925,1,2016,5,5
183,-1,2016,5,6
225,-1,2016,5,7
1212,1,2016,5,1
1307,1,2016,5,2
1273,1,2016,5,3
1497,1,2016,5,4
1167,1,2016,5,5
393,-1,2016,5,6
318,-1,2016,5,7
1209,1,2016,5,1
1350,1,2016,5,2
1222,1,2016,5,3
1235,1,2016,5,4
1103,1,2016,5,5
309,-1,2016,5,6
295,-1,2016,5,7
1126,1,2016,5,1
1226,1,2016,5,2
1240,1,2016,5,3
1201,1,2016,5,4
988,1,2016,5,5
380,-1,2016,5,6
300,-1,2016,5,7
266,-1,2016,5,1
1232,1,2016,5,2
1171,1,2016,6,3
1262,1,2016,6,4
1145,1,2016,6,5
353,-1,2016,6,6
258,-1,2016,6,7
1330,1,2016,6,1
1283,1,2016,6,2
1255,1,2016,6,3
1264,1,2016,6,4
1139,1,2016,6,5
321,-1,2016,6,6
323,-1,2016,6,7
1313,1,2016,6,1
1295,1,2016,6,2
1249,1,2016,6,3
1271,1,2016,6,4
1111,1,2016,6,5
337,-1,2016,6,6
282,-1,2016,6,7
1268,1,2016,6,1
1333,1,2016,6,2
1245,1,2016,6,3
1253,1,2016,6,4
1124,1,2016,6,5
375,-1,2016,6,6
288,-1,2016,6,7
1282,1,2016,6,1
1288,1,2016,6,2
1185,1,2016,6,3
1180,1,2016,6,4
968,1,2016,7,5
303,-1,2016,7,6
222,-1,2016,7,7
316,-1,2016,7,1
952,1,2016,7,2
1091,1,2016,7,3
1122,1,2016,7,4
995,1,2016,7,5
342,-1,2016,7,6
331,-1,2016,7,7
1168,1,2016,7,1
1188,1,2016,7,2
1210,1,2016,7,3
1212,1,2016,7,4
1046,1,2016,7,5
271,-1,2016,7,6
196,-1,2016,7,7
1151,1,2016,7,1
1155,1,2016,7,2
1247,1,2016,7,3
1196,1,2016,7,4
1023,1,2016,7,5
270,-1,2016,7,6
242,-1,2016,7,7
1200,1,2016,7,1
1213,1,2016,7,2
1219,1,2016,7,3
1166,1,2016,7,4
1102,1,2016,7,5
356,-1,2016,7,6
311,-1,2016,7,7
1165,1,2016,8,1
1241,1,2016,8,2
1231,1,2016,8,3
1140,1,2016,8,4
967,1,2016,8,5
300,-1,2016,8,6
275,-1,2016,8,7
1268,1,2016,8,1
1233,1,2016,8,2
1162,1,2016,8,3
1166,1,2016,8,4
1032,1,2016,8,5
670,-1,2016,8,6
736,-1,2016,8,7
1204,1,2016,8,1
1270,1,2016,8,2
1253,1,2016,8,3
1264,1,2016,8,4
1074,1,2016,8,5
313,-1,2016,8,6
291,-1,2016,8,7
1176,1,2016,8,1
1241,1,2016,8,2
1242,1,2016,8,3
1184,1,2016,8,4
1096,1,2016,8,5
291,-1,2016,8,6
285,-1,2016,8,7
1196,1,2016,8,1
1213,1,2016,8,2
1176,1,2016,8,3
